age,experience,income,zip_code,family,cc_avg,education,mortgage,personal_loan,securities_account,cd_account,online,credit_card,age_bracket,age_bracket_name,income_per_family_member,cc_to_income_ratio,debt_to_income_ratio,financial_maturity_index
61,37,131,94720,1,2.9,1,0,0,0,0,1,0,4,Baby boomers,65.5,0.022137404580152672,0.022137404580152672,45.17241379310345
30,6,72,94005,1,0.1,1,207,0,0,0,0,0,2,Millennials,36.0,0.001388888888888889,2.8763888888888887,720.0
50,26,190,90245,3,2.1,3,240,1,0,0,1,0,3,Generation X,47.5,0.01105263157894737,1.2742105263157895,90.47619047619047
29,5,44,95819,1,0.2,3,0,0,0,0,1,0,2,Millennials,22.0,0.004545454545454546,0.004545454545454546,220.0
41,17,139,94022,2,8.0,1,0,0,0,0,1,0,2,Millennials,46.333333333333336,0.05755395683453238,0.05755395683453238,17.375
55,30,29,94005,3,0.1,2,0,0,1,1,1,0,3,Generation X,7.25,0.003448275862068966,0.003448275862068966,290.0
56,31,131,95616,2,1.2,3,0,1,0,0,0,0,3,Generation X,43.666666666666664,0.00916030534351145,0.00916030534351145,109.16666666666667
28,2,93,94065,2,0.2,1,0,0,0,0,0,0,2,Millennials,31.0,0.002150537634408602,0.002150537634408602,465.0
31,5,188,91320,2,4.5,1,455,0,0,0,0,0,2,Millennials,62.666666666666664,0.023936170212765957,2.4441489361702127,41.77777777777778
49,24,39,90404,3,1.7,2,0,0,1,0,1,0,3,Generation X,9.75,0.04358974358974359,0.04358974358974359,22.941176470588236
47,21,125,93407,1,5.7,1,112,0,1,0,0,0,3,Generation X,62.5,0.0456,0.9416,21.929824561403507
42,18,22,90089,1,1.0,1,0,0,0,0,0,0,2,Millennials,11.0,0.045454545454545456,0.045454545454545456,22.0
47,23,105,90024,2,3.3,1,0,0,0,0,0,0,3,Generation X,35.0,0.031428571428571424,0.031428571428571424,31.81818181818182
59,35,131,91360,1,3.8,1,0,0,0,0,1,1,4,Baby boomers,65.5,0.02900763358778626,0.02900763358778626,34.473684210526315
62,36,105,95670,2,2.8,1,336,0,0,0,0,0,4,Baby boomers,35.0,0.026666666666666665,3.2266666666666666,37.5
53,23,45,95123,4,2.0,3,132,0,1,0,0,0,3,Generation X,9.0,0.044444444444444446,2.977777777777778,22.5
47,21,60,93407,3,2.1,1,0,0,0,0,1,1,3,Generation X,15.0,0.035,0.035,28.57142857142857
53,29,20,90045,4,0.2,1,0,0,0,0,1,0,3,Generation X,4.0,0.01,0.01,100.0
42,18,115,91335,1,3.5,1,0,0,0,0,0,1,2,Millennials,57.5,0.030434782608695653,0.030434782608695653,32.857142857142854
53,29,69,93907,4,1.0,2,0,0,0,0,1,0,3,Generation X,13.8,0.014492753623188406,0.014492753623188406,69.0
44,20,130,92007,1,5.0,1,0,0,0,0,0,1,3,Generation X,65.0,0.038461538461538464,0.038461538461538464,26.0
41,16,85,94606,1,4.0,3,0,0,0,0,1,1,2,Millennials,42.5,0.047058823529411764,0.047058823529411764,21.25
28,3,135,94611,2,3.3,1,0,0,0,0,0,1,2,Millennials,45.0,0.024444444444444442,0.024444444444444442,40.909090909090914
31,7,135,94901,4,3.8,2,0,1,0,1,1,1,2,Millennials,27.0,0.028148148148148148,0.028148148148148148,35.526315789473685
58,32,12,91320,3,0.3,3,0,0,0,0,0,0,3,Generation X,3.0,0.024999999999999998,0.024999999999999998,40.0
46,20,29,92220,3,0.5,2,0,0,0,0,0,0,3,Generation X,7.25,0.017241379310344827,0.017241379310344827,58.0
54,30,133,93305,2,2.6,3,0,1,0,0,0,0,3,Generation X,44.333333333333336,0.019548872180451128,0.019548872180451128,51.15384615384615
50,26,19,94720,2,0.4,1,118,0,0,0,1,0,3,Generation X,6.333333333333333,0.021052631578947368,6.231578947368422,47.5
60,36,41,95134,4,1.3,1,174,0,0,0,1,1,4,Baby boomers,8.2,0.03170731707317073,4.275609756097562,31.538461538461537
47,22,40,94612,3,2.7,2,0,0,0,0,1,0,3,Generation X,10.0,0.0675,0.0675,14.814814814814813
41,16,82,92507,1,4.0,3,0,0,0,0,1,0,2,Millennials,41.0,0.04878048780487805,0.04878048780487805,20.5
33,9,50,94305,1,2.4,2,0,0,0,0,0,0,2,Millennials,25.0,0.048,0.048,20.833333333333336
46,22,18,91730,1,0.9,3,0,0,0,0,1,0,3,Generation X,9.0,0.05,0.05,20.0
27,2,109,94005,4,1.8,3,0,0,0,0,0,0,2,Millennials,21.8,0.01651376146788991,0.01651376146788991,60.55555555555556
40,16,42,94501,4,2.2,2,126,0,0,0,0,0,2,Millennials,8.4,0.05238095238095238,3.052380952380952,19.09090909090909
48,22,78,94305,3,1.1,1,0,0,0,0,1,0,3,Generation X,19.5,0.014102564102564105,0.014102564102564105,70.9090909090909
65,41,51,94117,2,1.1,1,0,0,0,0,1,0,4,Baby boomers,17.0,0.021568627450980395,0.021568627450980395,46.36363636363636
25,0,113,94303,4,2.3,3,0,0,0,0,0,1,1,Generation Z,22.6,0.020353982300884955,0.020353982300884955,49.1304347826087
55,30,118,90277,4,5.6,2,0,1,0,0,1,0,3,Generation X,23.6,0.04745762711864406,0.04745762711864406,21.071428571428573
35,10,29,94105,4,1.1,3,0,0,0,0,1,0,2,Millennials,5.8,0.03793103448275863,0.03793103448275863,26.36363636363636
43,19,34,94305,3,0.6,2,0,0,0,0,0,0,3,Generation X,8.5,0.01764705882352941,0.01764705882352941,56.66666666666667
60,34,64,94550,2,1.7,3,236,0,1,0,1,0,4,Baby boomers,21.333333333333332,0.0265625,3.7140625,37.64705882352941
65,39,121,92612,1,2.0,1,0,0,0,0,0,0,4,Baby boomers,60.5,0.01652892561983471,0.01652892561983471,60.5
38,12,48,95617,4,0.2,3,0,0,0,0,1,0,2,Millennials,9.6,0.004166666666666667,0.004166666666666667,240.0
41,15,80,95014,1,5.2,1,0,0,0,0,0,0,2,Millennials,40.0,0.065,0.065,15.384615384615383
54,28,161,92121,1,2.9,1,0,0,0,0,1,0,3,Generation X,80.5,0.018012422360248446,0.018012422360248446,55.51724137931035
49,23,94,92374,1,0.3,1,0,0,0,0,1,0,3,Generation X,47.0,0.0031914893617021275,0.0031914893617021275,313.33333333333337
66,41,15,91711,3,0.1,3,0,0,0,0,1,0,4,Baby boomers,3.75,0.006666666666666667,0.006666666666666667,150.0
48,23,74,94080,1,1.2,1,0,0,0,0,1,0,3,Generation X,37.0,0.016216216216216217,0.016216216216216217,61.66666666666667
61,36,30,94608,3,1.3,2,0,0,0,0,0,0,4,Baby boomers,7.5,0.043333333333333335,0.043333333333333335,23.076923076923077
53,23,44,93555,3,1.0,3,198,0,0,0,1,1,3,Generation X,11.0,0.022727272727272728,4.5227272727272725,44.0
43,18,22,95670,2,0.3,2,0,0,0,0,1,0,3,Generation X,7.333333333333333,0.013636363636363636,0.013636363636363636,73.33333333333334
56,32,38,93311,4,1.3,1,166,0,0,0,1,1,3,Generation X,7.6,0.034210526315789476,4.402631578947369,29.23076923076923
24,0,35,94704,3,0.1,2,0,0,1,0,1,0,1,Generation Z,8.75,0.002857142857142857,0.002857142857142857,350.0
43,17,69,92717,4,2.9,1,0,0,0,0,1,1,3,Generation X,13.8,0.042028985507246375,0.042028985507246375,23.79310344827586
42,18,43,92037,1,0.7,1,136,0,0,0,0,0,2,Millennials,21.5,0.01627906976744186,3.17906976744186,61.42857142857143
33,7,32,95136,1,0.6,3,166,0,0,0,1,0,2,Millennials,16.0,0.01875,5.20625,53.333333333333336
43,17,49,94542,1,2.8,1,0,0,0,0,1,0,3,Generation X,24.5,0.05714285714285714,0.05714285714285714,17.5
41,14,9,91330,3,1.0,2,0,0,0,0,0,0,2,Millennials,2.25,0.1111111111111111,0.1111111111111111,9.0
62,38,45,94143,4,1.3,2,0,0,0,0,1,0,4,Baby boomers,9.0,0.02888888888888889,0.02888888888888889,34.61538461538461
40,15,82,91775,3,1.0,1,309,0,0,0,0,0,2,Millennials,20.5,0.012195121951219513,3.7804878048780486,82.0
58,34,92,92703,2,2.8,1,103,0,0,0,0,0,3,Generation X,30.666666666666668,0.03043478260869565,1.15,32.85714285714286
39,14,39,92354,3,0.5,3,0,0,0,0,1,0,2,Millennials,9.75,0.01282051282051282,0.01282051282051282,78.0
65,40,81,92024,3,1.8,2,0,0,0,0,1,0,4,Baby boomers,20.25,0.022222222222222223,0.022222222222222223,45.0
54,29,35,92831,1,1.5,2,0,0,0,0,1,0,3,Generation X,17.5,0.04285714285714286,0.04285714285714286,23.333333333333332
58,33,61,92833,2,2.3,3,193,0,0,0,1,0,3,Generation X,20.333333333333332,0.03770491803278688,3.2016393442622952,26.521739130434785
41,16,73,92647,3,3.0,1,0,0,0,0,1,0,2,Millennials,18.25,0.0410958904109589,0.0410958904109589,24.333333333333332
32,7,112,94304,1,4.6,1,366,0,0,0,0,0,2,Millennials,56.0,0.04107142857142857,3.3089285714285714,24.347826086956523
54,29,12,90057,2,0.2,3,0,0,0,0,1,0,3,Generation X,4.0,0.016666666666666666,0.016666666666666666,60.0
52,26,38,91711,3,0.9,3,0,0,0,0,1,0,3,Generation X,9.5,0.02368421052631579,0.02368421052631579,42.22222222222222
58,32,73,94523,2,0.7,2,0,0,0,0,1,1,3,Generation X,24.333333333333332,0.00958904109589041,0.00958904109589041,104.28571428571429
37,13,84,92130,1,3.6,2,0,0,1,0,0,0,2,Millennials,42.0,0.04285714285714286,0.04285714285714286,23.333333333333332
39,15,78,92121,4,2.4,1,118,0,0,0,1,0,2,Millennials,15.6,0.030769230769230767,1.5435897435897437,32.5
60,35,80,91301,3,0.5,1,0,0,0,0,1,0,4,Baby boomers,20.0,0.00625,0.00625,160.0
31,5,115,92096,2,1.3,1,101,0,0,0,1,1,2,Millennials,38.333333333333336,0.011304347826086957,0.8895652173913043,88.46153846153845
34,8,82,92646,1,2.7,2,251,0,0,0,1,0,2,Millennials,41.0,0.032926829268292684,3.09390243902439,30.370370370370367
41,16,70,92131,3,0.5,3,0,0,0,0,0,1,2,Millennials,17.5,0.007142857142857143,0.007142857142857143,140.0
28,4,81,94801,3,1.5,1,276,0,0,0,1,0,2,Millennials,20.25,0.018518518518518517,3.425925925925926,54.0
58,34,149,93720,4,7.2,2,0,1,0,1,1,1,3,Generation X,29.8,0.04832214765100671,0.04832214765100671,20.694444444444443
31,1,51,90840,2,1.75,3,0,0,0,0,0,0,2,Millennials,17.0,0.03431372549019608,0.03431372549019608,29.142857142857142
30,4,39,90245,3,1.1,2,0,0,0,0,1,0,2,Millennials,9.75,0.02820512820512821,0.02820512820512821,35.45454545454545
53,29,98,95035,3,1.8,2,0,0,0,0,0,0,3,Generation X,24.5,0.018367346938775512,0.018367346938775512,54.44444444444444
58,33,45,93010,4,2.1,1,0,0,0,0,1,1,3,Generation X,9.0,0.04666666666666667,0.04666666666666667,21.428571428571427
59,32,49,95035,4,2.5,2,0,0,0,0,1,0,4,Baby boomers,9.8,0.05102040816326531,0.05102040816326531,19.6
49,25,128,95054,2,0.4,1,0,0,0,0,0,0,3,Generation X,42.666666666666664,0.003125,0.003125,320.0
59,34,42,94928,3,1.5,1,0,0,1,1,0,1,4,Baby boomers,10.5,0.03571428571428571,0.03571428571428571,28.0
59,35,18,93305,1,1.2,3,0,0,0,0,1,0,4,Baby boomers,9.0,0.06666666666666667,0.06666666666666667,15.0
51,25,31,90245,2,0.4,3,161,0,0,0,1,1,3,Generation X,10.333333333333334,0.012903225806451613,5.206451612903226,77.5
35,11,58,95831,3,2.0,1,149,0,0,0,1,1,2,Millennials,14.5,0.034482758620689655,2.603448275862069,29.0
33,9,48,91770,1,2.1,3,0,0,0,0,0,1,2,Millennials,24.0,0.043750000000000004,0.043750000000000004,22.857142857142858
25,1,54,94117,4,1.6,1,0,0,0,0,1,1,1,Generation Z,10.8,0.02962962962962963,0.02962962962962963,33.75
49,23,70,92093,2,1.5,2,0,0,0,0,0,0,3,Generation X,23.333333333333332,0.02142857142857143,0.02142857142857143,46.666666666666664
59,35,124,90007,1,7.4,1,0,0,0,0,0,1,4,Baby boomers,62.0,0.05967741935483871,0.05967741935483871,16.756756756756754
46,19,84,94102,1,2.67,2,0,0,0,0,1,1,3,Generation X,42.0,0.031785714285714285,0.031785714285714285,31.460674157303373
50,25,83,94542,4,3.6,3,188,0,0,0,1,0,3,Generation X,16.6,0.043373493975903614,2.308433734939759,23.055555555555554
52,28,163,91423,2,0.4,1,116,0,0,0,1,0,3,Generation X,54.333333333333336,0.00245398773006135,0.7141104294478527,407.5
48,22,42,93955,3,2.2,2,0,0,0,0,0,0,3,Generation X,10.5,0.05238095238095238,0.05238095238095238,19.09090909090909
46,22,118,94107,2,7.5,1,0,0,0,1,1,1,3,Generation X,39.333333333333336,0.0635593220338983,0.0635593220338983,15.733333333333333
26,0,132,92834,3,6.5,3,0,1,0,0,0,1,1,Generation Z,33.0,0.04924242424242424,0.04924242424242424,20.307692307692307
57,32,24,93117,1,1.3,1,0,0,0,0,1,1,3,Generation X,12.0,0.05416666666666667,0.05416666666666667,18.46153846153846
60,36,22,94551,2,1.0,1,0,0,1,1,1,1,4,Baby boomers,7.333333333333333,0.045454545454545456,0.045454545454545456,22.0
54,29,58,92612,4,1.3,3,0,0,0,0,0,0,3,Generation X,11.6,0.022413793103448276,0.022413793103448276,44.61538461538461
24,0,60,94596,4,1.6,1,0,0,0,0,1,0,1,Generation Z,12.0,0.02666666666666667,0.02666666666666667,37.5
26,0,15,92131,4,0.4,1,0,0,0,0,0,1,1,Generation Z,3.0,0.02666666666666667,0.02666666666666667,37.5
41,17,83,94025,4,2.67,1,0,0,0,0,1,1,2,Millennials,16.6,0.03216867469879518,0.03216867469879518,31.08614232209738
32,6,79,94720,2,1.5,3,0,0,0,0,1,1,2,Millennials,26.333333333333332,0.0189873417721519,0.0189873417721519,52.666666666666664
61,35,41,94545,4,1.7,2,0,0,1,0,1,0,4,Baby boomers,8.2,0.041463414634146344,0.041463414634146344,24.11764705882353
29,0,134,95819,4,6.5,3,0,1,0,0,0,0,2,Millennials,26.8,0.048507462686567165,0.048507462686567165,20.615384615384617
61,35,80,95053,2,2.8,1,0,0,0,0,1,0,4,Baby boomers,26.666666666666668,0.034999999999999996,0.034999999999999996,28.571428571428573
38,12,52,90036,1,2.0,1,0,0,0,0,0,0,2,Millennials,26.0,0.038461538461538464,0.038461538461538464,26.0
28,4,70,91125,4,2.6,1,0,0,0,0,1,0,2,Millennials,14.0,0.037142857142857144,0.037142857142857144,26.923076923076923
53,27,92,95120,2,1.1,1,0,0,1,0,0,0,3,Generation X,30.666666666666668,0.011956521739130435,0.011956521739130435,83.63636363636363
27,1,43,94706,1,1.5,1,0,0,0,0,1,0,2,Millennials,21.5,0.03488372093023256,0.03488372093023256,28.666666666666668
25,1,21,95827,3,1.0,2,0,0,0,0,0,0,1,Generation Z,5.25,0.047619047619047616,0.047619047619047616,21.0
33,9,23,94305,3,0.9,3,0,0,0,0,1,1,2,Millennials,5.75,0.0391304347826087,0.0391304347826087,25.555555555555554
50,26,13,91320,4,1.0,1,0,0,0,0,1,0,3,Generation X,2.6,0.07692307692307693,0.07692307692307693,13.0
27,1,112,90503,4,2.1,3,0,0,0,0,0,1,2,Millennials,22.4,0.01875,0.01875,53.33333333333333
27,1,138,90250,2,2.0,1,0,0,0,0,1,0,2,Millennials,46.0,0.014492753623188406,0.014492753623188406,69.0
52,28,11,95817,3,0.4,1,0,0,1,0,0,0,3,Generation X,2.75,0.03636363636363637,0.03636363636363637,27.5
38,13,171,92717,2,7.8,1,0,0,0,0,1,0,2,Millennials,57.0,0.045614035087719294,0.045614035087719294,21.923076923076923
58,34,42,90095,4,1.5,1,0,0,0,0,1,1,3,Generation X,8.4,0.03571428571428571,0.03571428571428571,28.0
42,17,168,95503,2,7.9,2,0,1,0,0,1,0,2,Millennials,56.0,0.04702380952380952,0.04702380952380952,21.265822784810126
45,20,85,91711,4,1.1,2,0,0,1,0,1,0,3,Generation X,17.0,0.012941176470588237,0.012941176470588237,77.27272727272727
52,25,44,93111,3,1.0,2,135,0,0,0,1,0,3,Generation X,11.0,0.022727272727272728,3.090909090909091,44.0
29,3,65,94132,4,1.8,2,244,0,0,0,0,0,2,Millennials,13.0,0.027692307692307693,3.7815384615384615,36.11111111111111
53,29,24,95818,4,0.2,1,0,0,0,0,1,1,3,Generation X,4.8,0.008333333333333333,0.008333333333333333,120.0
62,37,11,91942,1,0.1,1,0,0,0,0,1,0,4,Baby boomers,5.5,0.009090909090909092,0.009090909090909092,110.0
51,27,38,90401,2,1.0,3,164,0,0,0,1,0,3,Generation X,12.666666666666666,0.02631578947368421,4.342105263157895,38.0
36,12,10,93524,4,0.7,2,81,0,0,0,0,0,2,Millennials,2.0,0.06999999999999999,8.17,14.285714285714286
24,0,135,95133,1,1.5,1,0,0,0,0,1,0,1,Generation Z,67.5,0.011111111111111112,0.011111111111111112,90.0
29,3,148,92173,3,4.1,1,0,1,0,0,1,0,2,Millennials,37.0,0.0277027027027027,0.0277027027027027,36.09756097560976
52,26,63,92717,2,1.5,2,0,0,1,0,1,0,3,Generation X,21.0,0.023809523809523808,0.023809523809523808,42.0
39,14,115,91320,1,1.0,3,0,0,0,0,1,0,2,Millennials,57.5,0.008695652173913044,0.008695652173913044,115.0
48,23,45,95616,1,0.3,1,0,0,0,0,1,1,3,Generation X,22.5,0.006666666666666666,0.006666666666666666,150.0
46,21,159,94305,3,1.9,3,315,1,0,0,1,0,3,Generation X,39.75,0.011949685534591194,1.9930817610062892,83.6842105263158
64,40,169,91320,2,2.1,1,122,0,0,0,1,0,4,Baby boomers,56.333333333333336,0.012426035502958581,0.7343195266272189,80.47619047619047
55,29,112,94043,2,1.4,1,0,0,0,0,1,0,3,Generation X,37.333333333333336,0.012499999999999999,0.012499999999999999,80.0
60,36,93,92521,1,4.3,1,0,0,0,0,1,0,4,Baby boomers,46.5,0.046236559139784944,0.046236559139784944,21.627906976744185
51,25,29,90404,1,0.3,3,140,0,0,0,0,0,3,Generation X,14.5,0.010344827586206896,4.837931034482759,96.66666666666667
50,23,85,92122,1,2.67,2,0,0,0,0,1,0,3,Generation X,42.5,0.031411764705882354,0.031411764705882354,31.835205992509366
48,24,21,93118,4,0.6,1,0,0,0,0,1,1,3,Generation X,4.2,0.02857142857142857,0.02857142857142857,35.0
53,29,144,92697,2,6.8,1,0,0,0,0,1,0,3,Generation X,48.0,0.04722222222222222,0.04722222222222222,21.176470588235293
34,10,13,94577,4,1.0,1,95,0,1,0,1,0,2,Millennials,2.6,0.07692307692307693,7.384615384615385,13.0
48,24,165,93407,1,5.0,1,0,0,0,0,0,1,3,Generation X,82.5,0.030303030303030304,0.030303030303030304,33.0
55,31,9,91345,4,0.7,1,89,0,0,0,1,0,3,Generation X,1.8,0.07777777777777778,9.966666666666667,12.857142857142858
36,11,158,92152,1,5.1,3,0,1,0,1,1,1,2,Millennials,79.0,0.032278481012658226,0.032278481012658226,30.98039215686275
32,6,29,91355,1,1.9,3,0,0,0,0,1,1,2,Millennials,14.5,0.06551724137931034,0.06551724137931034,15.263157894736842
35,9,20,94609,2,1.4,3,0,0,0,0,1,1,2,Millennials,6.666666666666667,0.06999999999999999,0.06999999999999999,14.285714285714286
30,3,68,94306,4,2.0,2,0,0,0,0,1,0,2,Millennials,13.6,0.029411764705882353,0.029411764705882353,34.0
58,34,65,95747,4,2.2,1,0,0,0,0,1,0,3,Generation X,13.0,0.03384615384615385,0.03384615384615385,29.545454545454543
56,31,61,96150,2,1.9,2,105,0,0,0,0,0,3,Generation X,20.333333333333332,0.031147540983606555,1.7524590163934428,32.10526315789474
38,12,91,95616,4,1.4,2,100,0,0,0,0,1,2,Millennials,18.2,0.015384615384615384,1.1142857142857143,65.0
49,25,31,91355,1,1.0,1,0,0,1,0,1,0,3,Generation X,15.5,0.03225806451612903,0.03225806451612903,31.0
34,10,71,94115,4,0.1,2,0,0,0,0,0,0,2,Millennials,14.2,0.0014084507042253522,0.0014084507042253522,710.0
40,16,73,94110,4,2.67,1,0,0,0,0,1,1,2,Millennials,14.6,0.036575342465753426,0.036575342465753426,27.340823970037455
64,39,172,94707,4,3.1,1,282,1,0,1,1,1,4,Baby boomers,34.4,0.01802325581395349,1.657558139534884,55.483870967741936
44,18,55,94720,1,0.2,1,0,0,0,0,0,0,3,Generation X,27.5,0.0036363636363636364,0.0036363636363636364,275.0
46,22,69,91604,2,1.7,1,209,0,0,0,0,0,3,Generation X,23.0,0.024637681159420288,3.0536231884057967,40.588235294117645
57,33,155,91326,1,7.4,1,0,0,0,0,1,0,3,Generation X,77.5,0.04774193548387097,0.04774193548387097,20.945945945945944
54,28,94,90291,1,1.9,2,0,0,0,0,0,0,3,Generation X,47.0,0.020212765957446806,0.020212765957446806,49.473684210526315
27,3,125,95521,2,0.6,1,0,0,0,0,0,0,2,Millennials,41.666666666666664,0.0048,0.0048,208.33333333333334
39,14,74,94305,3,3.0,1,0,0,0,0,0,0,2,Millennials,18.5,0.04054054054054054,0.04054054054054054,24.666666666666668
44,20,72,92807,3,0.3,3,0,0,0,0,1,0,3,Generation X,18.0,0.004166666666666667,0.004166666666666667,240.0
